station_id,date,tx,tn,tm,pp,eto
87480,1983-01-01,35.2,21.1,27.8,1.4,6.5
87480,1983-01-02,28.4,24.2,27,0,2.2
87480,1983-01-03,29.8,22.5,25.8,0,6.9
87480,1983-01-04,31.3,18.8,25.2,0.8,5.8
87480,1983-01-05,30.4,18.3,25.2,0,6.9
87480,1983-01-06,29.5,21.5,26.1,0,7.7
87480,1983-01-07,31.8,20,26.8,0,6.2
87480,1983-01-08,32.8,20.9,27.2,0,6
87480,1983-01-09,33,23.5,27.8,0,7.4
87480,1983-01-10,32,22.8,27.4,0,3.7
87480,1983-01-11,33.3,22,27.9,0,4.3
87480,1983-01-12,32.8,24,28,3.8,5.7
87480,1983-01-13,27.9,20.6,23.9,0.2,2.6
87480,1983-01-14,32.7,18.2,25.6,0,5.7
87480,1983-01-15,31.8,19.2,24.9,0,5.2
87480,1983-01-16,28.8,18.5,23.3,0,4.8
87480,1983-01-17,27.1,21.4,23.6,5.2,2.1
87480,1983-01-18,28,20.2,22.6,1,5.5
87480,1983-01-19,29.5,17.8,23.9,0,5.7
87480,1983-01-20,34.3,17,26,0,6.2
87480,1983-01-21,37,18.9,29.1,0,7.6
87480,1983-01-22,37.6,19,29.8,0,8.3
87480,1983-01-23,36.9,22.4,27.3,1,4.2
87480,1983-01-24,32.8,21.6,27.1,0,5
87480,1983-01-25,34.1,21,25,3,3.8
87480,1983-01-26,30.7,18.5,24.4,0,5.9
87480,1983-01-27,32.6,19.8,26.6,0,6
87480,1983-01-28,32.7,24.4,28.5,0,7
87480,1983-01-29,35,21.6,28.4,10.5,3.5
87480,1983-01-30,29.7,20.5,24.4,1,4.5
87480,1983-01-31,27,16.6,21.2,0,5.8
87480,1983-02-01,24.4,14,19.3,0,5.4
87480,1983-02-02,28.2,10.9,21.8,0,6.4
87480,1983-02-03,28.5,14,23.3,0,5.3
87480,1983-02-04,30.5,14.9,24.3,0,4.3
87480,1983-02-05,32.2,19.5,26.6,0,3.6
87480,1983-02-06,31.7,22,26.6,0,3.3
87480,1983-02-07,33,20.3,28.1,0,5.3
87480,1983-02-08,35.5,19.6,27.3,0,6.5
87480,1983-02-09,38.2,21.8,28.5,0,8.7
87480,1983-02-10,26.2,17.3,21.3,6.2,2.2
87480,1983-02-11,31.3,19.5,23.7,0,3.6
87480,1983-02-12,25.2,10,17.2,0,3.1
87480,1983-02-13,25,15.9,20.5,0,3
87480,1983-02-14,23.6,19.4,21.2,34.6,1.5
87480,1983-02-15,25.7,17.5,20.1,0,4.2
87480,1983-02-16,28,12.8,20.2,0,5.6
87480,1983-02-17,28.5,13,21.7,0,5.6
87480,1983-02-18,32.5,18.7,26.4,0,6.3
87480,1983-02-19,34.7,21.5,27.9,2.4,6.2
87480,1983-02-20,28.4,19.8,22.7,31.9,2.4
87480,1983-02-21,27.7,17.6,22.6,0,4.6
87480,1983-02-22,28.4,19.5,24.1,0,4.7
87480,1983-02-23,32.7,23.2,26.6,5.3,4.9
87480,1983-02-24,27.5,18.8,23.6,52,1.9
87480,1983-02-25,25.2,20.3,22.4,4,3.1
87480,1983-02-26,22.6,15,17.9,3.7,2.6
87480,1983-02-27,24.2,13.8,18.9,0,3
87480,1983-02-28,26.2,12.4,19.9,0,4.3
87480,1983-03-01,27.3,18,21.5,2,2.3
87480,1983-03-02,23.7,11.1,17.4,0,3.7
87480,1983-03-03,27.6,13.2,20.7,0,4.5
87480,1983-03-04,29.6,14.8,23.1,0,4.5
87480,1983-03-05,30.6,17.7,23.9,0,3.8
87480,1983-03-06,29.4,16.5,23.7,0,4.9
87480,1983-03-07,30.8,21.8,25.3,0,5.3
87480,1983-03-08,31.2,21.5,26.4,0,5.6
87480,1983-03-09,27,19,23.8,3.9,4.2
87480,1983-03-10,20.3,16.3,17.4,4.4,1.5
87480,1983-03-11,23.7,11.4,17.3,0,3.5
